a,b,c,d,e,f,g,h,i,j,k,l,label,m,n,o,p,q,r,s,t,u
-19418.7232326,-11746.6146211,-8381.76017665,17502.4810644,1263.24158624,-2819.73074698,8388.5071485,-10133.3114034,1872.12862655,606.492917832,-1847.21981769,2856.31716889,advice_god,-2166.57251057,-2804.29718671,2120.13326357,3.2860252789,95.1368111429,-884.598079536,1644.6981025,53.0610781888,-238.983204595
-2318.45344707,12234.1893938,23.9876708495,-1938.33824564,-3887.16160649,1410.43270931,-2410.53872361,-1165.99619222,-1825.14423051,-5618.75023883,-7599.74031293,-4380.67409964,confession_bear,412.546861934,-7540.45237881,1352.75989316,5195.79924382,-2079.99630948,2364.93759388,-1723.9534644,-5536.6845068,2763.92736329
-17707.8345827,-8903.20321949,-7831.82074866,15592.2898467,2477.81432044,-3092.37132785,7703.85566262,-9268.52356943,2363.64608713,1719.09689768,-1872.17234099,1652.423319,advice_god,-99.3504205465,-883.351259168,634.486770086,-825.087409605,1913.7490873,-1607.9364592,-985.83948006,-616.495306553,-1468.44032255
16908.992225,-13123.2633408,5452.09986577,-5319.88885218,-8332.97006078,-3400.40254794,-7782.73608045,-7025.88726164,6394.61777804,15015.3897428,-7850.23847973,570.906242565,lazy_college_senior,2492.71871414,-4500.04607646,664.260824785,-2455.33656436,5812.32268645,-3469.7915414,5855.22416743,-6729.50567831,-1713.36395988
-5754.1598864,6785.18104192,29193.2423686,12869.3906814,529.851044504,-1488.899689,-1826.87866973,6319.81360407,3133.17112143,-471.261638482,745.066716141,-219.920714394,socially_awkward_penguin,553.140874849,699.10716907,1714.29822629,576.226949184,-326.092203206,639.708909268,-2455.4851759,724.196336682,-1005.77659184
-2817.14007792,7155.50996714,3068.05628359,-5642.8452391,-4420.52481088,-21.3338072781,1172.86272042,-1320.82681029,-2258.9762011,-3857.14155535,-4486.14684106,-2441.55975656,confession_bear,1614.48590912,-7961.33133649,870.092081018,1338.96636778,166.79815909,859.113939557,-278.380908876,-3013.59935475,850.434309553
33722.2886322,-6383.1345538,-164.904688851,3568.44513126,4736.75348654,-1881.6517132,-1529.46438355,-7711.60049371,-943.016378413,3891.30189006,121.881447739,-5383.15915973,bad_joke_eel,3263.71590325,3056.33751645,-6082.52418155,-845.829326724,437.770189975,2684.78963423,-9689.88929165,6036.4764524,2655.14866405
-2998.04657135,14461.06827,3129.24388309,-8802.80029378,10825.6425274,-9218.45274155,3594.5015437,425.582938344,5179.78804881,1129.73628876,-3623.65728972,8411.84412678,bad_luck_brian,1094.60724134,1045.99182445,-4895.00390812,809.173694368,586.417589699,-581.387277605,614.056441571,-1422.74647992,-1183.47950749
-3536.48028812,7525.03178366,-6443.28360064,811.477495818,-5739.70664017,12931.4381464,-492.59310072,1133.68089552,12300.7649796,-5485.16950711,3815.80327948,-2345.50309346,business_cat,1518.874269,1108.33195925,-2973.20322874,-347.755735736,803.964405997,-3647.19054429,3279.63371055,-500.854185913,2659.77987907
-15185.2356665,-3919.28423103,-3265.50563686,-5029.20538698,9668.12919566,3202.69424115,5120.21816249,7217.08291013,-1975.81137952,8904.32555985,1959.85101863,-3239.50428245,college_liberal,4530.22897333,793.773900895,1469.96159621,293.658706234,-5231.11816027,-569.288087917,-1483.32172835,-1463.8121284,100.462521396
2432.70585939,-13639.5868601,1712.17412877,-1902.5989998,-6326.12976496,416.626820694,-9548.8496437,969.391244778,1648.16195591,7023.91913758,3644.17887055,3349.87912727,evil_toddler,-3579.66775413,-5395.58794805,-4882.14265726,401.759197737,-6028.87740679,-927.602277,-1722.85201629,4587.5502027,-1188.91035648
-1131.79942342,16309.9972977,3789.77048284,-7737.40829979,10722.8729948,-9181.1893159,5661.48830216,-408.381357368,4779.16282018,470.49375526,-4325.7013867,8835.15371489,bad_luck_brian,1384.18531443,1443.42675381,-5299.30135154,312.571319268,-1146.26308259,1066.17071353,696.975404066,-1759.57396592,-739.200202695
5629.10653461,20145.3774773,2975.00867674,724.872738439,-5745.93044364,-611.836996316,3830.53675228,-7388.27301992,-8155.83372338,2916.02394808,4092.51206525,-5536.36467791,high_expectations_asian_father,-4246.23730929,7893.15833305,-2041.99869298,1151.60263621,-3444.6225796,-958.36353786,5384.90902794,-83.4904356843,1631.8651254
-19047.270696,-13626.2757601,824.979990804,-2199.90370126,-2349.38037253,5343.97398497,-2790.24028543,5124.16276648,-3071.86854446,-2866.47841713,-637.485751586,1135.84480567,minor_mistake_marvin,-2786.02270791,-2071.79379161,-4134.66253022,2418.191961,-717.508063998,5462.75525102,5961.57404222,-32.1227647085,-1092.05919611
4558.74620008,-11061.7580328,3432.53450934,-5304.04792786,-6762.70813792,-1592.10541168,-6375.49895092,217.881584667,390.429019675,6228.92442151,2598.56767031,1144.31077815,evil_toddler,-4052.84548167,-5560.40220485,-4559.16676525,-559.205166568,-3555.28616498,-1130.47028891,-301.163602743,1605.49940837,-2042.84198678
-3193.09305337,10030.553663,754.087217302,-2257.98523681,-3288.04045394,7002.86533003,4469.37451414,1851.68057067,-6761.91471363,1416.88399349,3839.84488472,894.321074184,philosoraptor,-2645.56968751,-5485.21797794,504.085147429,-1374.54721794,4782.68101252,-1398.41431772,-4781.07298008,-1977.87910532,-4934.17313035
-17810.6917827,-11982.034629,2790.78861315,-4257.51746528,-1175.70569356,1473.77771746,-2809.70678356,957.551843039,-5303.57768246,-5915.43433053,-8302.01924601,981.390345732,first_day_on_the_internet_kid,-661.627413572,6821.42347601,-1505.66485934,-5134.0782404,-510.475423893,-5978.56401861,-1415.86939006,-1182.72540362,-789.166767625
21497.9481165,-18927.5244871,9437.83577335,-12046.2484827,-6401.14752837,-626.720123995,15197.8059736,-1039.00217082,3465.42079979,-5176.30184503,3182.3048578,-919.014999422,sudden_clarity_clarence,1225.73411001,-222.392394406,4598.17577753,1413.38902621,-1961.75838793,-1586.6360684,3156.22336268,3560.34245883,1211.39340171
-3365.27848156,12064.7759361,-490.608242471,-2934.6442748,-2551.02135942,41.3895895191,-1067.88383635,-2524.81644418,162.791214323,-6317.42596692,-8077.06474742,-6581.29263529,confession_bear,100.047204221,-7300.18262688,2624.80525091,7159.06917389,-1371.19067233,-2054.69000307,2202.43100189,-532.595314597,-780.209290721
